State,Period,Depression,Anxiety
AL,1,18.6,25.6
AK,1,19.2,27.7
AR,1,22.4,32.3
AZ,1,26.6,33.7
CA,1,25.4,30.8
CO,1,22.0,32.6
CT,1,24.4,34.9
DE,1,21.1,29.9
DC,1,26.4,31.4
FL,1,22.5,32.6
GA,1,25.6,31.9
HI,1,20.0,32.3
ID,1,20.6,26.9
IL,1,23.3,31.1
IN,1,26.4,31.8
IA,1,16.5,22.5
KS,1,22.1,26.4
KY,1,23.2,31.6
LA,1,28.1,34.4
ME,1,19.5,29.5
MD,1,20.9,27.7
MA,1,25.9,37.0
MI,1,25.5,32.5
MN,1,20.4,28.5
MS,1,22.9,30.3
MO,1,21.0,30.4
MT,1,18.2,22.8
NE,1,19.1,24.2
NV,1,23.6,31.4
NH,1,19.5,31.3
NJ,1,23.6,31.4
NM,1,22.4,27.9
NY,1,28.7,36.1
NC,1,21.1,30.0
ND,1,17.0,21.7
OH,1,21.2,31.1
OK,1,20.8,28.6
OR,1,22.5,31.5
PA,1,24.7,31.0
RI,1,24.5,27.6
SC,1,21.6,27.8
SD,1,17.5,22.1
TN,1,22.2,28.2
TX,1,24.4,29.7
UT,1,22.9,28.9
VT,1,20.7,30.6
VA,1,21.5,28.5
WA,1,22.1,30.6
WV,1,23.4,28.8
WI,1,22.0,27.1
WY,1,18.9,24.9
AL,2,22.5,27.2
AK,2,25.1,27.4
AR,2,25.3,34.2
AZ,2,24.5,29.1
CA,2,22.8,31.4
CO,2,23.6,29.7
CT,2,21.5,29.1
DE,2,23.3,24.9
DC,2,30.3,36.2
FL,2,24.8,27.6
GA,2,25.6,29.5
HI,2,16.8,20.4
ID,2,17.0,25.0
IL,2,29.2,35.7
IN,2,19.9,31.5
IA,2,18.1,20.3
KS,2,16.7,25.1
KY,2,25.6,29.6
LA,2,30.0,34.6
ME,2,17.1,28.9
MD,2,24.6,30.1
MA,2,18.9,28.7
MI,2,23.4,27.0
MN,2,18.4,22.9
MS,2,35.5,38.3
MO,2,24.1,37.8
MT,2,20.8,24.9
NE,2,21.6,29.6
NV,2,31.2,34.0
NH,2,23.3,30.4
NJ,2,26.4,36.3
NM,2,29.0,30.2
NY,2,29.2,33.0
NC,2,20.2,25.9
ND,2,20.2,25.4
OH,2,26.4,26.4
OK,2,20.7,27.2
OR,2,17.8,26.2
PA,2,23.0,28.4
RI,2,22.8,26.9
SC,2,25.6,27.9
SD,2,20.5,26.1
TN,2,21.7,29.6
TX,2,25.7,32.4
UT,2,22.6,26.0
VT,2,26.8,31.8
VA,2,20.6,26.8
WA,2,22.9,28.5
WV,2,31.8,34.6
WI,2,22.9,25.6
WY,2,18.6,22.5
AL,3,19.6,20.7
AK,3,23.6,26.2
AR,3,20.0,29.0
AZ,3,28.9,28.7
CA,3,28.7,32.3
CO,3,23.7,27.6
CT,3,20.2,28.7
DE,3,21.8,26.6
DC,3,25.9,33.3
FL,3,24.3,28.2
GA,3,24.8,27.6
HI,3,21.3,24.1
ID,3,18.1,24.0
IL,3,24.3,28.5
IN,3,24.5,32.6
IA,3,18.6,19.0
KS,3,21.2,26.7
KY,3,22.8,27.7
